*****	["e"]	*ee**
*****	["e"]	*****
*****	["e", "t"]	*****
*****	["e", "t", "r"]	***r*
***r*	["e", "t", "r", "a"]	***r*
***r*	["e", "t", "r", "a", "o"]	*o*r*
*o*r*	["e", "t", "r", "a", "o", "i"]	*o*r*
*o*r*	["e", "t", "r", "a", "o", "i", "n"]	*o*r*
*o*r*	["e", "t", "r", "a", "o", "i", "n", "c"]	*o*r*
*o*r*	["e", "t", "r", "a", "o", "i", "n", "c", "s"]	so*rs
so*rs	["e", "t", "r", "a", "o", "i", "n", "c", "s", "u"]	sours
*****	["e"]	*****
*****	["e", "t"]	*t***
*t***	["e", "t", "i"]	*t***
*t***	["e", "t", "i", "a"]	*ta**
*ta**	["e", "t", "i", "a", "s"]	sta**
sta**	["e", "t", "i", "a", "s", "n"]	sta**
sta**	["e", "t", "i", "a", "s", "n", "r"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o", "d"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o", "d", "y"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o", "d", "y", "l"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o", "d", "y", "l", "m"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o", "d", "y", "l", "m", "g"]	star*
star*	["e", "t", "i", "a", "s", "n", "r", "o", "d", "y", "l", "m", "g", "c"]	star*
*****	["e"]	*****
*****	["e", "t"]	****t
****t	["e", "t", "a"]	**a*t
**a*t	["e", "t", "a", "s"]	**a*t
**a*t	["e", "t", "a", "s", "n"]	**a*t
**a*t	["e", "t", "a", "s", "n", "r"]	**a*t
**a*t	["e", "t", "a", "s", "n", "r", "i"]	**ait
**ait	["e", "t", "a", "s", "n", "r", "i", "c"]	**ait
**ait	["e", "t", "a", "s", "n", "r", "i", "c", "l"]	*lait
*lait	["e", "t", "a", "s", "n", "r", "i", "c", "l", "o"]	*lait
*lait	["e", "t", "a", "s", "n", "r", "i", "c", "l", "o", "p"]	plait
*****	["e"]	***e*
*****	["e"]	*****
*****	["e", "t"]	*****
*****	["e", "t", "r"]	***r*
