****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
****	["z", "y", "x", "v"]	****
****	["z", "y", "x", "v", "u"]	*u**
*u**	["z", "y", "x", "v", "u", "t"]	*u**
*u**	["z", "y", "x", "v", "u", "t", "s"]	*u*s
*u*s	["z", "y", "x", "v", "u", "t", "s", "r"]	ru*s
ru*s	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	ru*s
ru*s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	ru*s
ru*s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	ru*s
ru*s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	ru*s
ru*s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n", "m"]	ru*s
****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
****	["z", "y", "x", "v"]	****
****	["z", "y", "x", "v", "u"]	****
****	["z", "y", "x", "v", "u", "t"]	****
****	["z", "y", "x", "v", "u", "t", "s"]	****
****	["z", "y", "x", "v", "u", "t", "s", "r"]	*r**
*r**	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	*r**
*r**	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	*r**
*r**	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	*r*o
*r*o	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	*r*o
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	***v*
***v*	["z", "y", "x", "v", "u"]	***v*
***v*	["z", "y", "x", "v", "u", "t"]	***v*
***v*	["z", "y", "x", "v", "u", "t", "s"]	***v*
***v*	["z", "y", "x", "v", "u", "t", "s", "r"]	*r*v*
*r*v*	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	*r*v*
*r*v*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	*r*v*
*r*v*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	*rov*
*rov*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	*rov*
*rov*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n", "m"]	*rov*
****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
****	["z", "y", "x", "v"]	****
****	["z", "y", "x", "v", "u"]	****
****	["z", "y", "x", "v", "u", "t"]	****
****	["z", "y", "x", "v", "u", "t", "s"]	***s
***s	["z", "y", "x", "v", "u", "t", "s", "r"]	***s
***s	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	***s
***s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	***s
***s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	***s
***	["z"]	***
***	["z", "y"]	***
***	["z", "y", "x"]	***
***	["z", "y", "x", "v"]	***
***	["z", "y", "x", "v", "u"]	***
***	["z", "y", "x", "v", "u", "t"]	***
***	["z", "y", "x", "v", "u", "t", "s"]	***
***	["z", "y", "x", "v", "u", "t", "s", "r"]	***
***	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	***
***	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	***
*****	["z"]	*****
*****	["z", "y"]	****y
****y	["z", "y", "x"]	****y
****y	["z", "y", "x", "v"]	***vy
***vy	["z", "y", "x", "v", "u"]	***vy
***vy	["z", "y", "x", "v", "u", "t"]	***vy
***vy	["z", "y", "x", "v", "u", "t", "s"]	***vy
***vy	["z", "y", "x", "v", "u", "t", "s", "r"]	*r*vy
*r*vy	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	*r*vy
*r*vy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	pr*vy
pr*vy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	pr*vy
pr*vy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	pr*vy
pr*vy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n", "m"]	pr*vy
pr*vy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n", "m", "l"]	pr*vy
*****	["z"]	*****
*****	["z", "y"]	****y
****y	["z", "y", "x"]	****y
****y	["z", "y", "x", "v"]	****y
****y	["z", "y", "x", "v", "u"]	****y
****y	["z", "y", "x", "v", "u", "t"]	****y
****y	["z", "y", "x", "v", "u", "t", "s"]	**ssy
**ssy	["z", "y", "x", "v", "u", "t", "s", "r"]	**ssy
**ssy	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	**ssy
**ssy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	**ssy
**ssy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	**ssy
**ssy	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	**ssy
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	*****
*****	["z", "y", "x", "v", "u"]	*****
*****	["z", "y", "x", "v", "u", "t"]	*****
*****	["z", "y", "x", "v", "u", "t", "s"]	*****
*****	["z", "y", "x", "v", "u", "t", "s", "r"]	*****
*****	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	*****
*****	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	*****
****	["z"]	****
****	["z", "y"]	***y
***y	["z", "y", "x"]	***y
***y	["z", "y", "x", "v"]	***y
***y	["z", "y", "x", "v", "u"]	***y
***y	["z", "y", "x", "v", "u", "t"]	***y
***y	["z", "y", "x", "v", "u", "t", "s"]	***y
***y	["z", "y", "x", "v", "u", "t", "s", "r"]	***y
***y	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	***y
***y	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	***y
***y	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	***y
***	["z"]	***
***	["z", "y"]	***
***	["z", "y", "x"]	***
***	["z", "y", "x", "v"]	***
***	["z", "y", "x", "v", "u"]	***
***	["z", "y", "x", "v", "u", "t"]	**t
**t	["z", "y", "x", "v", "u", "t", "s"]	**t
**t	["z", "y", "x", "v", "u", "t", "s", "r"]	**t
**t	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	**t
**t	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	p*t
p*t	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	p*t
p*t	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	p*t
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	*****
*****	["z", "y", "x", "v", "u"]	*****
*****	["z", "y", "x", "v", "u", "t"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s", "r"]	***t*
